Frequency(Hz),Magnitude(dB),Phase(deg)
48682.71,-49.71,-89.72
49818.98,-49.91,-89.73
50981.76,-50.11,-89.73
52171.69,-50.31,-89.74
53389.38,-50.51,-89.74
54635.50,-50.71,-89.75
55910.71,-50.91,-89.76
57215.68,-51.11,-89.76
58551.10,-51.31,-89.77
59917.70,-51.51,-89.77
61316.19,-51.72,-89.78
62747.32,-51.92,-89.78
64211.86,-52.12,-89.79
65710.58,-52.32,-89.79
67244.27,-52.52,-89.80
68813.77,-52.72,-89.80
70419.90,-52.92,-89.81
72063.51,-53.12,-89.81
73745.49,-53.32,-89.81
75466.73,-53.52,-89.82
77228.14,-53.72,-89.82
79030.66,-53.92,-89.83
80875.25,-54.12,-89.83
82762.89,-54.32,-89.83
84694.60,-54.52,-89.84
86671.39,-54.72,-89.84
88694.32,-54.92,-89.85
90764.46,-55.12,-89.85
92882.92,-55.32,-89.85
95050.83,-55.52,-89.86
97269.34,-55.72,-89.86
99539.62,-55.92,-89.86
101862.90,-56.12,-89.87
104240.40,-56.32,-89.87
106673.39,-56.52,-89.87
109163.17,-56.73,-89.87
111711.07,-56.93,-89.88
114318.43,-57.13,-89.88
116986.64,-57.33,-89.88
119717.13,-57.53,-89.89
122511.36,-57.73,-89.89
125370.80,-57.93,-89.89
128296.98,-58.13,-89.89
131291.46,-58.33,-89.90
134355.83,-58.53,-89.90
137491.72,-58.73,-89.90
140700.81,-58.93,-89.90
143984.80,-59.13,-89.91
147345.43,-59.33,-89.91
150784.50,-59.53,-89.91
154303.85,-59.73,-89.91
157905.33,-59.93,-89.91
161590.88,-60.13,-89.92
165362.44,-60.33,-89.92
169222.04,-60.53,-89.92
173171.71,-60.73,-89.92
177213.58,-60.93,-89.92
181349.78,-61.13,-89.92
185582.52,-61.33,-89.93
189914.06,-61.53,-89.93
194346.69,-61.74,-89.93
198882.79,-61.94,-89.93
203524.75,-62.14,-89.93
208275.06,-62.34,-89.93
213136.25,-62.54,-89.94
218110.89,-62.74,-89.94
223201.65,-62.94,-89.94
228411.22,-63.14,-89.94
233742.39,-63.34,-89.94
239197.98,-63.54,-89.94
244780.92,-63.74,-89.94
250494.15,-63.94,-89.95
256340.74,-64.14,-89.95
262323.79,-64.34,-89.95
268446.48,-64.54,-89.95
274712.08,-64.74,-89.95
281123.92,-64.94,-89.95
287685.41,-65.14,-89.95
294400.05,-65.34,-89.95
301271.41,-65.54,-89.95
308303.15,-65.74,-89.96
315499.01,-65.94,-89.96
322862.82,-66.14,-89.96
330398.51,-66.34,-89.96
338110.08,-66.54,-89.96
346001.64,-66.75,-89.96
354077.39,-66.95,-89.96
362341.63,-67.15,-89.96
370798.76,-67.35,-89.96
379453.28,-67.55,-89.96
388309.80,-67.75,-89.96
397373.04,-67.95,-89.97
406647.81,-68.15,-89.97
416139.06,-68.35,-89.97
425851.83,-68.55,-89.97
435791.30,-68.75,-89.97
445962.76,-68.95,-89.97
456371.63,-69.15,-89.97
467023.44,-69.35,-89.97
477923.86,-69.55,-89.97
489078.71,-69.75,-89.97
500493.91,-69.95,-89.97
512175.54,-70.15,-89.97
524129.83,-70.35,-89.97
536363.13,-70.55,-89.97
548881.96,-70.75,-89.98
561692.98,-70.95,-89.98
574803.02,-71.15,-89.98
588219.04,-71.35,-89.98
601948.20,-71.55,-89.98
615997.80,-71.76,-89.98
630375.32,-71.96,-89.98
645088.41,-72.16,-89.98
660144.91,-72.36,-89.98
675552.83,-72.56,-89.98
691320.38,-72.76,-89.98
707455.94,-72.96,-89.98
723968.11,-73.16,-89.98
740865.68,-73.36,-89.98
758157.65,-73.56,-89.98
775853.21,-73.76,-89.98
793961.78,-73.96,-89.98
812493.02,-74.16,-89.98
831456.78,-74.36,-89.98
850863.16,-74.56,-89.98
870722.48,-74.76,-89.98
891045.33,-74.96,-89.98
911842.52,-75.16,-89.98
933125.12,-75.36,-89.99
954904.46,-75.56,-89.99
977192.13,-75.76,-89.99
1000000.00,-75.96,-89.99
